City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Qingdao,36.0986,120.3719,37.0,93,51,0.0,CN,2021-11-27 15:52:17
148,Marondera,-18.1853,31.5519,68.47,47,98,4.74,ZW,2021-11-27 15:56:42
149,Vila Velha,-20.3297,-40.2925,75.15,83,90,2.3,BR,2021-11-27 15:56:42
150,Alofi,-19.0595,-169.9187,75.09,94,94,2.3,NU,2021-11-27 15:56:43
151,Opotiki,-38.0833,177.2833,56.8,88,97,3.74,NZ,2021-11-27 15:56:43
152,Nuevo Progreso,23.1667,-97.95,69.33,70,33,3.0,MX,2021-11-27 15:56:43
153,Khatanga,71.9667,102.5,-3.28,94,100,16.71,RU,2021-11-27 15:56:44
154,Saint-Pierre,-21.3393,55.4781,78.44,83,90,3.44,RE,2021-11-27 15:56:44
155,Mahebourg,-20.4081,57.7,79.09,69,20,8.05,MU,2021-11-27 15:56:45
156,Rocha,-34.4833,-54.3333,79.52,49,18,13.44,UY,2021-11-27 15:56:45
157,Vilhena,-12.7406,-60.1458,82.62,69,40,9.22,BR,2021-11-27 15:56:45
158,Husavik,66.0449,-17.3389,33.71,95,99,5.26,IS,2021-11-27 15:56:46
159,Sola,-13.8833,167.55,75.87,100,75,0.0,VU,2021-11-27 15:56:46
160,Koygorodok,60.445,50.9968,31.8,94,100,6.62,RU,2021-11-27 15:56:47
161,Bilibino,68.0546,166.4372,-28.3,97,11,4.34,RU,2021-11-27 15:56:47
162,Orito,0.6766,-76.8771,85.59,51,88,3.47,CO,2021-11-27 15:56:48
163,Bria,6.5423,21.9863,80.22,33,99,3.02,CF,2021-11-27 15:56:48
164,Marseille,43.3333,5.5,47.71,79,100,18.01,FR,2021-11-27 15:56:49
165,Killybegs,54.6333,-8.45,42.51,64,98,18.37,IE,2021-11-27 15:56:49
166,Antofagasta,-23.65,-70.4,65.48,66,38,11.25,CL,2021-11-27 15:52:21
167,Palo Alto,37.4419,-122.143,46.33,90,1,0.0,US,2021-11-27 15:56:50
168,Kavaratti,10.5669,72.642,82.63,75,100,2.75,IN,2021-11-27 15:56:50
169,Luganville,-15.5333,167.1667,78.21,86,36,1.92,VU,2021-11-27 15:56:51
170,Svetlogorsk,52.6333,29.7333,40.3,78,99,14.83,BY,2021-11-27 15:53:24
171,Kloulklubed,7.0419,134.2556,77.5,77,44,15.43,PW,2021-11-27 15:56:51
172,Bengkulu,-3.8004,102.2655,76.59,88,100,3.09,ID,2021-11-27 15:56:52
173,Uyuni,-20.4597,-66.825,65.17,25,100,6.15,BO,2021-11-27 15:56:52
174,Pasni,25.2631,63.471,78.6,41,2,12.19,PK,2021-11-27 15:56:53
175,Saint-Philippe,-21.3585,55.7679,78.35,83,80,4.45,RE,2021-11-27 15:48:52
176,San Patricio,28.017,-97.5169,53.47,53,100,5.59,US,2021-11-27 15:56:53
177,Nova Olimpia,-14.7972,-57.2881,89.8,54,100,3.49,BR,2021-11-27 15:52:23
178,Palmas Bellas,9.2319,-80.0867,84.11,83,90,5.39,PA,2021-11-27 15:56:54
179,Lompoc,34.6391,-120.4579,45.32,45,1,12.66,US,2021-11-27 15:53:58
180,Sovetskiy,61.3614,63.5842,29.12,86,64,12.28,RU,2021-11-27 15:57:54
181,General Roca,-39.0333,-67.5833,77.4,16,1,20.56,AR,2021-11-27 15:57:55
182,Fukue,32.6881,128.8419,55.54,58,3,17.67,JP,2021-11-27 15:57:56
183,Taltal,-25.4,-70.4833,68.04,62,0,8.14,CL,2021-11-27 15:57:56
184,Rudnogorsk,57.2639,103.7519,5.79,96,97,5.77,RU,2021-11-27 15:57:57
185,Hovd,48.0056,91.6419,16.02,56,0,2.8,MN,2021-11-27 15:57:57
186,Nikolskoye,59.7035,30.7861,26.49,72,100,12.17,RU,2021-11-27 15:48:51
187,Naze,28.3667,129.4833,62.26,59,6,18.97,JP,2021-11-27 15:50:15
188,Tonaya,19.7833,-103.9667,71.87,63,74,1.28,MX,2021-11-27 15:57:58
189,Orcopampa,-15.2661,-72.3417,52.99,63,100,6.96,PE,2021-11-27 15:57:58
190,Pafos,34.7667,32.4167,67.78,68,20,8.05,CY,2021-11-27 15:57:59
191,Columbus,39.9612,-82.9988,34.59,80,90,10.36,US,2021-11-27 15:55:04
192,Kilimatinde,-5.85,34.95,83.35,25,52,6.42,TZ,2021-11-27 15:57:59
193,Bireun,5.203,96.7009,78.51,85,100,4.09,ID,2021-11-27 15:58:00
194,Cervo,43.6702,-7.4101,48.76,68,96,25.23,ES,2021-11-27 15:58:01
195,Nemuro,43.3236,145.575,38.52,65,61,21.74,JP,2021-11-27 15:58:01
196,Olavarria,-36.8927,-60.3225,86.13,28,76,11.41,AR,2021-11-27 15:58:02
197,Norman Wells,65.282,-126.8329,-11.16,70,40,14.97,CA,2021-11-27 15:51:29
198,Abu Samrah,35.3029,37.1841,62.08,50,100,6.8,SY,2021-11-27 15:58:02
199,Angoche,-16.2325,39.9086,77.67,61,76,14.27,MZ,2021-11-27 15:58:03
200,Labuhan,-6.8844,112.2051,78.89,86,100,10.6,ID,2021-11-27 15:58:03
201,Sabha,27.0377,14.4283,77.88,21,91,5.99,LY,2021-11-27 15:48:53
202,Kruisfontein,-34.0033,24.7314,65.12,68,42,7.4,ZA,2021-11-27 15:58:04
203,Aykhal,66.0,111.5,-4.67,95,93,18.77,RU,2021-11-27 15:58:04
204,Haverhill,42.7762,-71.0773,30.92,60,93,13.98,US,2021-11-27 15:56:50
205,Esperance,-33.8667,121.9,60.64,66,0,15.46,AU,2021-11-27 15:56:54
206,San Rafael,-34.6177,-68.3301,77.74,27,73,25.19,AR,2021-11-27 15:56:12
207,Bougouni,11.417,-7.479,96.94,13,78,5.84,ML,2021-11-27 15:58:06
208,Beringovskiy,63.05,179.3167,3.78,95,100,10.31,RU,2021-11-27 15:58:06
209,Nampula,-15.1165,39.2666,80.55,50,40,16.11,MZ,2021-11-27 15:55:12
210,Vestmannaeyjar,63.4427,-20.2734,40.19,93,90,16.11,IS,2021-11-27 15:58:07
211,Minudasht,37.2289,55.3747,51.37,71,75,0.0,IR,2021-11-27 15:58:07
212,Padang,-0.9492,100.3543,77.05,74,90,2.33,ID,2021-11-27 15:58:08
213,Ulladulla,-35.35,150.4667,56.3,84,100,12.68,AU,2021-11-27 15:58:08
214,Upata,8.0086,-62.3989,82.36,71,95,5.77,VE,2021-11-27 15:58:09
215,Lebu,-37.6167,-73.65,58.19,67,1,15.64,CL,2021-11-27 15:58:09
216,Haines Junction,60.7522,-137.5108,-9.45,77,100,0.0,CA,2021-11-27 15:57:44
217,Miraflores,19.2167,-98.8083,57.85,44,85,3.27,MX,2021-11-27 15:58:10
218,Isla Vista,34.4133,-119.861,66.15,22,41,2.26,US,2021-11-27 15:56:03
219,Saint-Joseph,-21.3667,55.6167,77.36,84,86,2.91,RE,2021-11-27 15:58:10
220,Pithora,21.2667,82.5167,64.35,47,54,2.75,IN,2021-11-27 15:58:11
221,Shakawe,-18.3667,21.85,90.64,23,78,4.83,BW,2021-11-27 15:58:11
222,Bogovarovo,58.9785,47.0246,31.87,95,100,9.78,RU,2021-11-27 15:58:11
223,Cabo San Lucas,22.8909,-109.9124,73.35,76,100,6.64,MX,2021-11-27 15:50:01
224,Constitucion,-35.3333,-72.4167,63.45,58,0,16.67,CL,2021-11-27 15:58:12
225,Tonantins,-2.8731,-67.8022,78.62,94,100,5.7,BR,2021-11-27 15:59:13
226,Kilmallock,52.4,-8.5772,42.15,75,92,14.29,IE,2021-11-27 15:59:13
227,Talnakh,69.4865,88.3972,-0.15,97,100,10.27,RU,2021-11-27 15:59:13
228,El Alto,-4.2714,-81.2147,71.26,71,21,8.28,PE,2021-11-27 15:59:14
229,Coquimbo,-29.9533,-71.3436,62.33,77,90,9.22,CL,2021-11-27 15:57:15
230,Kandi,11.1342,2.9386,96.84,9,99,6.8,BJ,2021-11-27 15:59:14
231,Kasongo-Lunda,-6.4667,16.8167,76.33,92,42,1.5,CD,2021-11-27 15:59:15
232,Pitanga,-24.7572,-51.7614,82.4,38,0,6.78,BR,2021-11-27 15:59:15
233,Longyearbyen,78.2186,15.6401,12.04,62,20,24.16,SJ,2021-11-27 15:59:16
234,Mount Gambier,-37.8333,140.7667,46.31,93,0,8.05,AU,2021-11-27 15:59:16
235,Nanortalik,60.1432,-45.2371,44.78,89,99,13.85,GL,2021-11-27 15:59:17
236,Soyo,-6.1349,12.3689,75.04,91,100,1.97,AO,2021-11-27 15:59:17
237,Pitimbu,-7.4706,-34.8086,88.39,62,45,12.39,BR,2021-11-27 15:59:18
238,Vieux Fort,13.7167,-60.95,85.32,74,75,14.97,LC,2021-11-27 15:59:18
239,Saskylakh,71.9167,114.0833,-2.24,91,100,11.34,RU,2021-11-27 15:57:12
240,Vao,-22.6667,167.4833,75.38,87,100,16.17,NC,2021-11-27 15:58:55
241,Liverpool,53.4106,-2.9779,39.15,45,20,18.41,GB,2021-11-27 15:58:20
242,Ahipara,-35.1667,173.1667,56.26,91,19,3.49,NZ,2021-11-27 15:59:19
243,Kingsville,27.5159,-97.8561,52.21,87,90,3.44,US,2021-11-27 15:59:19
244,Pangoa,-12.1167,-73.0,70.18,98,100,2.19,PE,2021-11-27 15:59:20
245,Hualmay,-11.0964,-77.6139,70.05,75,98,8.12,PE,2021-11-27 15:59:20
246,Prachin Buri,14.0833,101.6667,72.46,74,99,5.84,TH,2021-11-27 15:59:21
247,Derzhavinsk,51.1,66.3167,10.6,93,16,9.04,KZ,2021-11-27 15:59:21
248,Lavrentiya,65.5833,-171.0,-10.57,91,4,8.37,RU,2021-11-27 15:59:21
249,Katobu,-4.9408,122.5276,76.71,90,100,4.32,ID,2021-11-27 15:51:39
250,Moose Factory,51.2585,-80.6094,10.4,79,1,12.66,CA,2021-11-27 15:59:22
251,Tiznit,29.5833,-9.5,55.51,55,55,24.49,MA,2021-11-27 15:59:23
252,Sitka,57.0531,-135.33,39.09,65,90,5.75,US,2021-11-27 15:50:10
253,Makat,47.6469,53.3463,31.12,60,99,14.09,KZ,2021-11-27 15:59:23
254,Christchurch,-43.5333,172.6333,50.2,100,90,8.05,NZ,2021-11-27 15:59:24
255,Mackay,-21.15,149.2,78.78,89,90,0.0,AU,2021-11-27 15:57:58
256,Tawang,27.5833,91.8667,37.42,79,90,1.99,IN,2021-11-27 15:59:24
257,Luau,-10.7073,22.2247,70.56,88,51,5.66,AO,2021-11-27 15:59:25
258,Fort-Shevchenko,44.5086,50.263,46.31,44,99,13.58,KZ,2021-11-27 15:59:25
259,Biggar,55.6167,-3.5167,35.19,74,51,14.74,GB,2021-11-27 15:59:25
260,Grootfontein,-19.5667,18.1167,92.77,21,40,3.44,NA,2021-11-27 15:59:26
261,Kununurra,-15.7667,128.7333,80.58,74,60,2.3,AU,2021-11-27 15:59:26
262,Dunedin,-45.8742,170.5036,48.81,90,100,9.35,NZ,2021-11-27 15:59:27
263,Goderich,43.7501,-81.7165,30.52,64,95,5.75,CA,2021-11-27 15:59:27
264,Naryan-Mar,67.6713,53.087,-1.43,98,66,4.45,RU,2021-11-27 15:59:28
265,Lorengau,-2.0226,147.2712,80.44,77,58,1.63,PG,2021-11-27 15:59:28
266,Komsomolskiy,40.4272,71.7189,39.92,75,7,2.3,UZ,2021-11-27 15:59:29
267,Vanavara,60.34,102.2797,4.32,95,100,8.23,RU,2021-11-27 15:59:29
268,Karatau,43.1667,70.4667,28.0,57,0,2.75,KZ,2021-11-27 15:59:30
269,San Mateo Del Mar,16.2,-95.0,80.51,63,17,30.76,MX,2021-11-27 15:59:30
270,Honiara,-9.4333,159.95,78.01,85,100,2.59,SB,2021-11-27 15:59:30
271,Zhuhai,22.2769,113.5678,69.58,78,0,4.61,CN,2021-11-27 15:59:31
272,Henties Bay,-22.116,14.2845,64.36,68,1,14.63,NA,2021-11-27 15:59:31
273,Korla,41.7597,86.1469,30.52,82,100,8.99,CN,2021-11-27 15:59:32
274,Liwale,-9.7667,37.9333,80.31,44,53,2.91,TZ,2021-11-27 15:59:32
275,Farafangana,-22.8167,47.8333,71.98,66,87,12.35,MG,2021-11-27 16:00:33
